▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.0.101:3000
- Environments: .env.local
✓ Ready in 1396ms
- Experiments (use with caution):
  · clientTraceMetadata
  · optimizePackageImports
  · serverActions

○ Compiling /auth/login ...
 HEAD /auth/login 200 in 6.3s (next.js: 5.4s, application-code: 920ms)
 GET /auth/login 200 in 4.8s (next.js: 4.2s, application-code: 590ms)
✓ Finished filesystem cache database compaction in 12.6s
 GET / 200 in 852ms (next.js: 704ms, application-code: 148ms)
 GET / 200 in 147ms (next.js: 13ms, application-code: 133ms)
 HEAD /auth/login 200 in 130ms (next.js: 9ms, application-code: 121ms)
 HEAD /auth/login 200 in 128ms (next.js: 12ms, application-code: 117ms)
 GET /platform 200 in 1009ms (next.js: 241ms, proxy.ts: 199ms, application-code: 568ms)
 GET /api/auth/session 200 in 258ms (next.js: 213ms, application-code: 45ms)
 GET /admin 200 in 363ms (next.js: 147ms, proxy.ts: 16ms, application-code: 200ms)
 GET /api/auth/session 200 in 18ms (next.js: 6ms, application-code: 12ms)
✓ Compiled in 6s
✓ Finished filesystem cache database compaction in 13.7s
 GET /admin 200 in 193ms (next.js: 9ms, proxy.ts: 15ms, application-code: 168ms)
 GET /api/auth/session 200 in 15ms (next.js: 4ms, application-code: 10ms)
 GET /platform 200 in 199ms (next.js: 14ms, proxy.ts: 20ms, application-code: 166ms)
 GET /api/auth/session 200 in 14ms (next.js: 4ms, application-code: 10ms)
 GET /platform 200 in 208ms (next.js: 10ms, proxy.ts: 20ms, application-code: 178ms)
 GET /api/auth/session 200 in 15ms (next.js: 5ms, application-code: 10ms)
✓ Compiled in 2.9s
 GET /platform 200 in 2.1s (next.js: 777ms, proxy.ts: 283ms, application-code: 1070ms)
 GET /admin 200 in 2.1s (next.js: 1041ms, proxy.ts: 280ms, application-code: 820ms)
 GET /platform 200 in 2.1s (next.js: 923ms, proxy.ts: 282ms, application-code: 935ms)
 GET /platform 200 in 774ms (next.js: 52ms, proxy.ts: 24ms, application-code: 697ms)
 GET /platform 200 in 773ms (next.js: 70ms, proxy.ts: 52ms, application-code: 651ms)
 GET /admin 200 in 971ms (next.js: 144ms, proxy.ts: 53ms, application-code: 775ms)
 GET /platform 200 in 818ms (next.js: 27ms, proxy.ts: 39ms, application-code: 752ms)
 GET /platform 200 in 814ms (next.js: 176ms, proxy.ts: 40ms, application-code: 598ms)
 GET /platform 200 in 869ms (next.js: 235ms, proxy.ts: 41ms, application-code: 594ms)
 GET /platform 200 in 875ms (next.js: 132ms, proxy.ts: 40ms, application-code: 703ms)
 GET /platform 200 in 879ms (next.js: 87ms, proxy.ts: 39ms, application-code: 753ms)
 GET /platform 200 in 874ms (next.js: 287ms, proxy.ts: 40ms, application-code: 547ms)
 GET /platform 200 in 794ms (next.js: 20ms, proxy.ts: 23ms, application-code: 751ms)
